id,date,store_nbr,product_type,sales,special_offer
1016895,2014-07-26,41,AUTOMOTIVE,3.0,0
121235,2013-03-10,10,PET SUPPLIES,0.0,0
488669,2013-10-02,20,BREAD/BAKERY,0.0,0
2066791,2016-03-08,5,BABY CARE,0.0,0
2502014,2016-11-08,11,LAWN AND GARDEN,1.0,0
197514,2013-04-21,50,DELI,571.485,0
2349454,2016-08-14,30,LADIESWEAR,1.0,0
2318771,2016-07-28,2,PET SUPPLIES,5.0,0
2219510,2016-06-02,34,PREPARED FOODS,31.0,0
1800913,2015-10-10,4,BOOKS,0.0,0
1667247,2015-07-27,39,LINGERIE,6.0,0
2519551,2016-11-17,53,BABY CARE,0.0,0
1869765,2015-11-18,21,HOME CARE,234.0,0
1971396,2016-01-15,23,DELI,113.468,44
760142,2014-03-04,37,LAWN AND GARDEN,8.0,0
2835519,2017-05-15,19,PLAYERS AND ELECTRONICS,7.0,0
254707,2013-05-23,6,GROCERY II,51.0,0
127008,2013-03-13,22,MEATS,0.0,0
540392,2013-10-31,21,HOME APPLIANCES,0.0,0
2013544,2016-02-07,6,HOME AND KITCHEN II,150.0,2
1252837,2014-12-06,11,PERSONAL CARE,591.0,0
174626,2013-04-08,9,MAGAZINES,0.0,0
1949144,2016-01-02,48,SEAFOOD,47.044,0
1671630,2015-07-30,12,HOME AND KITCHEN I,10.0,0
2362946,2016-08-22,1,HARDWARE,2.0,0
2550694,2016-12-05,27,PERSONAL CARE,224.0,5
168921,2013-04-05,48,PLAYERS AND ELECTRONICS,0.0,0
1549516,2015-05-22,36,BABY CARE,0.0,0
2742176,2017-03-23,5,DAIRY,492.0,26
915417,2014-05-30,43,PRODUCE,0.0,0
195695,2013-04-20,5,BREAD/BAKERY,369.513,0
1783709,2015-09-30,7,PET SUPPLIES,1.0,0
489008,2013-10-02,3,HARDWARE,4.0,0
454001,2013-09-12,47,LAWN AND GARDEN,10.0,0
2794374,2017-04-22,15,AUTOMOTIVE,4.0,0
1245521,2014-12-01,7,BEAUTY,5.0,0
2495421,2016-11-04,26,PLAYERS AND ELECTRONICS,0.0,0
1812256,2015-10-16,8,POULTRY,943.308,38
2175071,2016-05-08,38,DAIRY,1072.0,6
681570,2014-01-19,32,LINGERIE,3.0,0
115036,2013-03-06,36,SCHOOL AND OFFICE SUPPLIES,0.0,0
2237224,2016-06-12,31,"LIQUOR,WINE,BEER",14.0,1
835557,2014-04-15,52,PRODUCE,0.0,0
311277,2013-06-24,42,LINGERIE,0.0,0
402355,2013-08-14,48,LADIESWEAR,0.0,0
2688975,2017-02-21,8,BEVERAGES,4599.0,16
584583,2013-11-25,11,LINGERIE,10.0,0
1263320,2014-12-11,6,HARDWARE,0.0,0
1197240,2014-11-04,51,AUTOMOTIVE,3.0,0
352117,2013-07-17,39,CLEANING,744.0,0
587125,2013-11-26,32,"LIQUOR,WINE,BEER",1.0,0
901192,2014-05-22,44,POULTRY,862.395,0
1746748,2015-09-10,2,PERSONAL CARE,204.0,3
2203782,2016-05-24,43,DELI,213.0,4
2402517,2016-09-13,2,HOME CARE,214.0,2
1075626,2014-08-28,39,MEATS,129.564,19
2774041,2017-04-10,43,POULTRY,170.711,0
2803746,2017-04-27,28,AUTOMOTIVE,13.0,0
2012321,2016-02-07,21,HARDWARE,0.0,0
1685397,2015-08-06,48,LINGERIE,2.0,0
1938618,2015-12-27,53,AUTOMOTIVE,4.0,0
774872,2014-03-12,5,SEAFOOD,21.615,0
1046199,2014-08-12,14,AUTOMOTIVE,0.0,0
2201111,2016-05-23,19,FROZEN FOODS,56.0,2
1357284,2015-02-03,41,PLAYERS AND ELECTRONICS,0.0,0
1113797,2014-09-19,10,HARDWARE,0.0,0
1078407,2014-08-30,18,AUTOMOTIVE,4.0,0
2966905,2017-07-27,6,CLEANING,1005.0,14
2980901,2017-08-04,48,FROZEN FOODS,189.465,2
235948,2013-05-13,29,SCHOOL AND OFFICE SUPPLIES,0.0,0
2328214,2016-08-02,34,SCHOOL AND OFFICE SUPPLIES,3.0,0
1596357,2015-06-17,5,HOME AND KITCHEN I,6.0,0
2056253,2016-03-02,53,MAGAZINES,5.0,0
257022,2013-05-25,20,HOME CARE,0.0,0
1940163,2015-12-28,46,PLAYERS AND ELECTRONICS,25.0,0
1561436,2015-05-29,20,DAIRY,378.0,1
2611264,2017-01-09,27,CLEANING,857.0,10
587159,2013-11-26,33,MAGAZINES,0.0,0
2708312,2017-03-04,5,BEAUTY,6.0,1
1571613,2015-06-03,6,LINGERIE,14.0,0
579231,2013-11-22,11,HOME AND KITCHEN I,0.0,0
1561783,2015-05-29,3,PERSONAL CARE,380.0,2
479293,2013-09-26,8,BABY CARE,0.0,0
179221,2013-04-11,37,SCHOOL AND OFFICE SUPPLIES,0.0,0
387421,2013-08-06,3,BABY CARE,0.0,0
2388417,2016-09-05,24,DELI,266.926,4
2503481,2016-11-08,52,BEAUTY,0.0,0
874147,2014-05-07,36,EGGS,62.0,0
1086966,2014-09-03,8,GROCERY I,4930.0,2
1380585,2015-02-16,45,PRODUCE,62.0,0
2307285,2016-07-21,47,MEATS,619.328,0
2195031,2016-05-19,48,BEVERAGES,2564.0,24
723935,2014-02-12,21,HARDWARE,0.0,0
1656960,2015-07-21,5,PRODUCE,1371.156,0
148446,2013-03-25,24,GROCERY I,3595.0,0
475108,2013-09-24,4,CLEANING,664.0,0
596820,2013-12-01,54,HOME AND KITCHEN I,0.0,0
2364994,2016-08-23,17,HOME AND KITCHEN II,34.0,0
860536,2014-04-29,53,POULTRY,0.0,0
684763,2014-01-21,22,GROCERY II,0.0,0
266359,2013-05-30,32,HOME AND KITCHEN II,0.0,0
480639,2013-09-27,44,PLAYERS AND ELECTRONICS,0.0,0
1966530,2016-01-12,36,PLAYERS AND ELECTRONICS,5.0,0
1114626,2014-09-19,33,HOME CARE,171.0,0
1264698,2014-12-12,44,CELEBRATION,23.0,0
1142080,2014-10-04,53,HOME AND KITCHEN II,6.0,0
1723514,2015-08-28,18,MAGAZINES,0.0,0
663375,2014-01-09,22,DELI,0.0,0
802491,2014-03-28,25,PRODUCE,2173.97,0
1192293,2014-11-02,13,BEVERAGES,1123.0,0
2925646,2017-07-04,47,SCHOOL AND OFFICE SUPPLIES,12.0,0
2863681,2017-05-31,1,CLEANING,857.0,33
2520651,2016-11-18,34,GROCERY I,3897.639,61
2964376,2017-07-26,34,LADIESWEAR,0.0,0
914582,2014-05-30,20,LAWN AND GARDEN,0.0,0
2541962,2016-11-30,32,BREAD/BAKERY,83.0,2
5667,2013-01-04,18,MEATS,26.728,0
1526204,2015-05-09,31,LAWN AND GARDEN,1.0,0
